"Keyword","Avg. Search Volume","Location","CPC","PPC","Keyword Difficulty","Search Volume 4/2015","Search Volume 5/2015","Search Volume 6/2015","Search Volume 7/2015","Search Volume 8/2015","Search Volume 9/2015","Search Volume 10/2015","Search Volume 11/2015","Search Volume 12/2015","Search Volume 1/2016","Search Volume 2/2016","Search Volume 3/2016","Search Volume 4/2016","Search Volume 5/2016","Search Volume 6/2016","Search Volume 7/2016","Search Volume 8/2016","Search Volume 9/2016","Search Volume 10/2016","Search Volume 11/2016","Search Volume 12/2016","Search Volume 1/2017","Search Volume 2/2017","Search Volume 3/2017","Search Volume 4/2017","Search Volume 5/2017","Search Volume 6/2017","Search Volume 7/2017","Search Volume 8/2017","Search Volume 9/2017","Search Volume 10/2017","Search Volume 11/2017","Search Volume 12/2017","Search Volume 1/2018","Search Volume 2/2018","Search Volume 3/2018","Search Volume 4/2018","Search Volume 5/2018","Search Volume 6/2018","Search Volume 7/2018","Search Volume 8/2018","Search Volume 9/2018","Search Volume 10/2018","Search Volume 11/2018","Search Volume 12/2018","Search Volume 1/2019","Search Volume 2/2019","Search Volume 3/2019","Search Volume 4/2019","Search Volume 5/2019","Search Volume 6/2019","Search Volume 7/2019","Search Volume 8/2019","Search Volume 9/2019","Search Volume 10/2019","Search Volume 11/2019"
"vegan t shirts",8600,"Anywhere",0.63,100,29,"","","","",6600,6600,6600,6600,8100,6600,6600,8100,8100,12100,9900,9900,8100,6600,5400,6600,6600,5400,5400,6600,6600,6600,8100,9900,9900,8100,8100,14800,14800,12100,9900,12100,12100,12100,12100,12100,12100,9900,9900,8100,9900,6600,6600,8100,8100,8100,8100,9900,9900,8100,9900,9900
"vegan shirts",5100,"Anywhere",0.61,100,28,"","","","",3600,3600,3600,4400,6600,6600,6600,8100,9900,12100,9900,9900,8100,6600,5400,6600,6600,6600,5400,6600,6600,6600,8100,9900,9900,8100,8100,8100,8100,6600,6600,6600,6600,6600,6600,6600,6600,5400,5400,5400,6600,4400,4400,4400,5400,4400,5400,5400,5400,5400,5400,5400
"vegan clothing",8800,"Anywhere",0.72,100,38,"","","","",,5400,6600,8100,8100,8100,8100,8100,8100,9900,8100,6600,6600,8100,8100,9900,9900,9900,8100,8100,8100,8100,8100,9900,9900,9900,9900,12100,12100,12100,9900,9900,9900,8100,8100,8100,8100,8100,9900,12100,12100,9900,8100,8100,8100,8100,6600,6600,8100,8100,9900,12100
"vegan apparel",900,"Anywhere",0.57,100,30,"","","","",720,720,880,880,1000,1000,880,1000,1300,1300,1300,1300,1300,1000,1000,1300,1600,1300,1000,1600,1300,1000,1300,1900,1600,1600,1600,1900,1900,1600,1600,1600,1600,1000,1300,1300,1000,1000,1000,1000,1000,880,880,880,720,720,1000,1000,880,880,1000,1000
"vegan tee shirts",370,"Anywhere",0.77,100,32,"","","","",390,320,260,390,480,390,390,390,480,720,590,480,590,390,480,480,390,390,320,590,320,480,590,720,720,590,590,590,880,480,590,720,720,480,390,390,390,320,320,390,480,320,260,320,390,320,320,390,480,320,390,480
"funny vegan shirts",640,"Anywhere",0.49,100,31,"140","210","170","170",210,170,320,480,590,480,390,590,590,880,720,720,590,590,590,880,1300,590,590,590,590,720,720,1000,880,880,880,1600,1900,1000,880,720,720,720,880,590,590,720,590,880,1000,590,590,390,480,390,390,720,590,720,880,1000
"vegetarian t shirt",630,"Anywhere",0.55,100,35,"260","210","210","480",320,390,320,480,480,390,320,390,,390,319,319,261,261,212,261,319,261,212,261,261,93,116,141,141,116,116,174,141,116,116,141,141,,,,,,590,720,880,590,480,480,480,480,590,720,720,590,720,880
"vegetarian shirts",560,"Anywhere",0.52,100,36,"","390","480","390",480,390,390,480,480,720,480,480,720,12100,9900,9900,8100,1000,1000,1300,1000,1000,880,880,880,880,880,1000,880,880,880,880,1000,880,720,1000,880,720,720,880,880,590,590,720,590,480,390,480,590,590,590,590,590,590,590,720
"vegan hoodie",1100,"Anywhere",0.43,100,30,"210","260","210","210",320,480,590,720,720,720,720,590,480,590,480,390,480,720,1000,1600,1300,880,720,880,720,590,480,720,1000,1300,1600,1900,1900,1600,1600,1300,1000,720,720,590,1000,1300,1600,1600,1600,1300,1000,1000,880,720,720,590,880,1300,1900,1900
"vegan tees",290,"Anywhere",0.53,100,33,"","","","",140,110,140,170,140,170,170,170,170,260,260,260,260,260,260,320,260,260,260,320,320,320,390,480,480,390,390,480,480,590,390,480,480,390,480,390,390,390,260,390,320,260,260,320,260,260,320,320,320,260,320,320
"vegan sweatshirt",480,"Anywhere",0.55,100,26,"","","","",170,320,390,590,720,390,320,390,320,320,210,320,390,480,590,880,880,480,260,590,320,260,210,260,590,720,880,1300,1000,720,590,720,590,390,260,320,390,590,590,880,880,590,480,390,320,260,260,260,390,390,720,880
"funny vegan t shirts",340,"Anywhere",0.48,100,31,"50","70","50","70",90,90,140,170,210,140,110,140,210,260,170,170,320,110,320,480,720,320,320,390,320,480,260,480,480,480,,,,,,,320,390,390,390,320,480,320,480,590,170,140,170,320,320,390,390,320,320,390,590
"cute vegan shirts",120,"Anywhere",0.54,100,36,"50","90","70","90",140,140,140,210,140,260,320,320,320,480,480,320,390,320,210,390,390,390,320,260,260,210,390,260,320,210,260,320,260,210,320,210,170,110,170,170,140,110,90,140,210,90,140,110,90,70,90,170,140,90,110,170
"vegan merch",550,"Anywhere",0.58,100,32,"90","90","110","110",140,140,210,210,210,320,210,260,320,390,480,390,320,320,260,390,390,390,320,390,320,260,320,390,390,390,320,590,590,480,390,590,590,480,480,480,480,480,480,590,590,590,480,590,480,390,480,480,720,590,590,720
"christmas shirts",68200,"Anywhere",0.76,100,30,"","","","",1300,2900,9900,49500,74000,1000,480,390,390,590,880,1600,1900,12100,40500,201000,246000,2900,1000,1000,1000,1600,2900,5400,6600,18100,74000,301000,301000,3600,1000,1300,1300,1300,2400,4400,6600,18100,74000,301000,368000,4400,1600,1300,1600,1900,3600,8100,9900,27100,90500,301000
"vegetarian clothing",150,"Anywhere",0.71,100,34,"","","","",,260,320,390,390,390,320,320,390,390,390,320,320,390,320,390,390,390,320,320,320,320,320,480,320,390,390,390,260,320,170,320,210,210,210,210,260,170,260,260,260,170,110,110,140,170,110,110,140,140,140,210
"halloween t shirts",17800,"Anywhere",0.6,100,38,"","","","",,215,880,880,390,480,390,480,480,590,720,1300,3600,18100,60500,1300,480,590,480,590,590,720,880,1900,8100,27100,110000,1900,590,720,590,720,720,880,1900,2900,12100,33100,90500,2900,1000,880,880,1000,1000,1000,1600,3600,14800,49500,135000,3600
"vegan gifts",15700,"Anywhere",0.71,100,38,"","","","",,1600,1900,6600,9900,1600,1900,1900,1900,1900,1900,1900,1900,4400,6600,18100,33100,4400,4400,4400,4400,5400,4400,5400,5400,6600,9900,33100,49500,8100,6600,6600,6600,8100,6600,6600,8100,8100,12100,40500,60500,8100,8100,8100,6600,8100,8100,8100,8100,9900,14800,40500
"cheap t shirts",36900,"Anywhere",2.31,100,25,"","","","",,22200,18100,14800,18100,18100,22200,27100,27100,27100,27100,27100,27100,33100,33100,27100,22200,27100,27100,33100,33100,40500,40500,40500,40500,33100,33100,27100,27100,27100,27100,33100,40500,40500,40500,40500,40500,33100,33100,27100,27100,27100,27100,40500,40500,40500,40500,49500,49500,40500,33100,27100
"t shirts for men",213000,"Anywhere",0.95,100,47,"","","","",,40500,49500,33100,33100,33100,49500,60500,60500,60500,60500,60500,60500,60500,60500,49500,49500,40500,60500,60500,49500,49500,60500,74000,60500,49500,40500,40500,40500,40500,49500,74000,74000,74000,74000,135000,135000,165000,165000,110000,165000,135000,135000,201000,246000,246000,246000,246000,246000,246000,246000,201000
"comfort colors t shirts",10700,"Anywhere",0.98,100,20,"","1600","2400","2400",2900,1900,2400,2400,5400,5400,6600,8100,8100,6600,8100,6600,9900,9900,6600,5400,4400,5400,6600,6600,8100,9900,8100,9900,12100,9900,8100,6600,5400,5400,6600,6600,6600,8100,8100,8100,9900,8100,6600,4400,3600,4400,4400,6600,8100,12100,14800,18100,18100,18100,12100,8100
"vegetarian tee shirts",40,"Anywhere",0.51,100,27,"","30","30","40",40,40,40,70,40,30,20,10,40,,,,,50,40,50,70,90,40,30,20,40,70,70,50,70,50,70,70,50,50,40,70,30,40,20,20,20,30,50,90,30,30,30,40,20,40,40,50,50,30,50
"vegan boots",13100,"Anywhere",1.04,100,29,"","","","",,9900,12100,14800,12100,9900,6600,5400,4400,4400,3600,4400,6600,12100,14800,18100,14800,9900,6600,6600,5400,4400,4400,5400,9900,14800,18100,22200,18100,12100,8100,8100,6600,5400,4400,5400,9900,18100,22200,27100,18100,14800,9900,8100,6600,6600,5400,6600,9900,18100,27100,27100
"cheap t shirts online",2900,"Anywhere",1.92,100,47,"","","","",,2400,2400,1900,1900,2400,2400,2400,3600,4400,3600,2900,2900,2900,2900,2400,1300,1600,1600,3600,3600,2900,3600,2400,2400,1900,2400,1600,1000,1600,1600,2900,3600,3600,2400,2900,1900,2900,3600,1900,1600,2400,2400,2400,3600,4400,3600,3600,3600,2900,2900,2400
"superhero shirts",20000,"Anywhere",0.55,100,39,"","","","",,14800,18100,8100,9900,9900,9900,14800,14800,14800,12100,12100,12100,14800,27100,9900,8100,8100,8100,22200,22200,27100,27100,27100,22200,22200,40500,22200,18100,14800,14800,18100,22200,22200,18100,18100,22200,22200,33100,14800,14800,14800,12100,18100,22200,22200,18100,18100,18100,27100,40500,14800